q_pip,q_dip,q_linkage_base,q_linkage_distal
1.640609496874669559e-01,-4.023220049042954827e-01,-3.382195106158860654e-01,2.281634439758759569e-01
1.658062789394612879e-01,-4.059764697324639293e-01,-3.414501827038067816e-01,2.303325659681183524e-01
1.675516081914556199e-01,-4.096216840048603203e-01,-3.446745536921125286e-01,2.324987385042036614e-01
1.692969374434499519e-01,-4.132577120024305550e-01,-3.478926480240067676e-01,2.346620014218738781e-01
1.710422666954442839e-01,-4.168846168710644839e-01,-3.511044897635282602e-01,2.368223938029805353e-01
1.727875959474386158e-01,-4.205024606511993390e-01,-3.543101026061932224e-01,2.389799539924446492e-01
1.745329251994329478e-01,-4.241113043064843602e-01,-3.575095098892964174e-01,2.411347196166206963e-01
1.762782544514272798e-01,-4.277112077515399235e-01,-3.607027346018747416e-01,2.432867276010921564e-01
1.780235837034215840e-01,-4.313022298788635744e-01,-3.638897993943590592e-01,2.454360141879261548e-01
1.797689129554159160e-01,-4.348844285848656455e-01,-3.670707265879036285e-01,2.475826149523774333e-01
1.815142422074102480e-01,-4.384578607951388207e-01,-3.702455381834370840e-01,2.497265648191122622e-01
1.832595714594045799e-01,-4.420225824888968091e-01,-3.734142558703998915e-01,2.518678980779016641e-01
1.850049007113989119e-01,-4.455786487227215709e-01,-3.765769010352357782e-01,2.540066483988843160e-01
1.867502299633932439e-01,-4.491261136535511511e-01,-3.797334947695985008e-01,2.561428488473458387e-01
1.884955592153875759e-01,-4.526650305609720704e-01,-3.828840578783014870e-01,2.582765318980579927e-01
1.902408884673819078e-01,-4.561954518688611238e-01,-3.860286108870325528e-01,2.604077294492102013e-01
1.919862177193762398e-01,-4.597174291663614909e-01,-3.891671740498194865e-01,2.625364728359187438e-01
1.937315469713705718e-01,-4.632310132282371207e-01,-3.922997673562673704e-01,2.646627928433402666e-01
